ENSG00000176476	CCDC101 subnetwork
ENSG00000151748	SAV1 subnetwork
ENSG00000184270	HIST2H2AB subnetwork
ENSG00000020577	SAMD4A subnetwork
ENSG00000189319	FAM53B subnetwork
ENSG00000116285	ERRFI1 subnetwork
ENSG00000110237	ARHGEF17 subnetwork
ENSG00000109046	WSB1 subnetwork
ENSG00000111961	SASH1 subnetwork
ENSG00000163362	C1orf106 subnetwork
ENSG00000138439	FAM117B subnetwork
ENSG00000211895	ENSG00000211895 subnetwork
ENSG00000160285	LSS subnetwork
ENSG00000197555	SIPA1L1 subnetwork
ENSG00000214869	ENSG00000214869 subnetwork
ENSG00000160271	RALGDS subnetwork
ENSG00000159176	CSRP1 subnetwork
ENSG00000159166	LAD1 subnetwork
ENSG00000122966	CIT subnetwork
ENSG00000105289	TJP3 subnetwork
ENSG00000179364	PACS2 subnetwork
ENSG00000168476	REEP4 subnetwork
ENSG00000164403	SHROOM1 subnetwork
ENSG00000165556	CDX2 subnetwork
ENSG00000171219	CDC42BPG subnetwork
ENSG00000087157	PGS1 subnetwork
ENSG00000038358	EDC4 subnetwork
ENSG00000165476	REEP3 subnetwork
ENSG00000130299	GTPBP3 subnetwork
ENSG00000013374	NUB1 subnetwork
ENSG00000138771	SHROOM3 subnetwork
ENSG00000101350	KIF3B subnetwork
ENSG00000183873	SCN5A subnetwork
ENSG00000162869	PPP1R21 subnetwork
ENSG00000125912	NCLN subnetwork
ENSG00000196549	MME subnetwork
ENSG00000078747	ITCH subnetwork
ENSG00000138767	CNOT6L subnetwork
ENSG00000104960	PTOV1 subnetwork
ENSG00000107404	DVL1 subnetwork
ENSG00000130762	ARHGEF16 subnetwork
ENSG00000078399	HOXA9 subnetwork
ENSG00000125731	SH2D3A subnetwork
ENSG00000144597	EAF1 subnetwork
ENSG00000131941	RHPN2 subnetwork
ENSG00000189285	ENSG00000189285 subnetwork
ENSG00000111300	NAA25 subnetwork
ENSG00000049323	LTBP1 subnetwork
ENSG00000164605	ENSG00000164605 subnetwork
ENSG00000198265	HELZ subnetwork
ENSG00000136448	NMT1 subnetwork
ENSG00000119812	FAM98A subnetwork
ENSG00000108256	NUFIP2 subnetwork
ENSG00000111602	TIMELESS subnetwork
ENSG00000175793	SFN subnetwork
ENSG00000105327	BBC3 subnetwork
ENSG00000061936	SFSWAP subnetwork
ENSG00000111775	COX6A1 subnetwork
ENSG00000180581	ENSG00000180581 subnetwork
ENSG00000143742	SRP9 subnetwork
ENSG00000138696	BMPR1B subnetwork
ENSG00000147044	CASK subnetwork
ENSG00000090659	CD209 subnetwork
