ENSG00000176476	CCDC101 PPI subnetwork
ENSG00000151748	SAV1 PPI subnetwork
ENSG00000184270	HIST2H2AB PPI subnetwork
ENSG00000020577	SAMD4A PPI subnetwork
ENSG00000189319	FAM53B PPI subnetwork
ENSG00000116285	ERRFI1 PPI subnetwork
ENSG00000110237	ARHGEF17 PPI subnetwork
ENSG00000109046	WSB1 PPI subnetwork
ENSG00000111961	SASH1 PPI subnetwork
ENSG00000163362	C1orf106 PPI subnetwork
ENSG00000138439	FAM117B PPI subnetwork
ENSG00000211895	ENSG00000211895 PPI subnetwork
ENSG00000160285	LSS PPI subnetwork
ENSG00000197555	SIPA1L1 PPI subnetwork
ENSG00000214869	ENSG00000214869 PPI subnetwork
ENSG00000160271	RALGDS PPI subnetwork
ENSG00000159176	CSRP1 PPI subnetwork
ENSG00000159166	LAD1 PPI subnetwork
ENSG00000122966	CIT PPI subnetwork
ENSG00000105289	TJP3 PPI subnetwork
ENSG00000179364	PACS2 PPI subnetwork
ENSG00000168476	REEP4 PPI subnetwork
ENSG00000164403	SHROOM1 PPI subnetwork
ENSG00000165556	CDX2 PPI subnetwork
ENSG00000171219	CDC42BPG PPI subnetwork
ENSG00000087157	PGS1 PPI subnetwork
ENSG00000038358	EDC4 PPI subnetwork
ENSG00000165476	REEP3 PPI subnetwork
ENSG00000130299	GTPBP3 PPI subnetwork
ENSG00000013374	NUB1 PPI subnetwork
ENSG00000138771	SHROOM3 PPI subnetwork
ENSG00000101350	KIF3B PPI subnetwork
ENSG00000183873	SCN5A PPI subnetwork
ENSG00000162869	PPP1R21 PPI subnetwork
ENSG00000125912	NCLN PPI subnetwork
ENSG00000196549	MME PPI subnetwork
ENSG00000078747	ITCH PPI subnetwork
ENSG00000138767	CNOT6L PPI subnetwork
ENSG00000104960	PTOV1 PPI subnetwork
ENSG00000107404	DVL1 PPI subnetwork
ENSG00000130762	ARHGEF16 PPI subnetwork
ENSG00000078399	HOXA9 PPI subnetwork
ENSG00000125731	SH2D3A PPI subnetwork
ENSG00000144597	EAF1 PPI subnetwork
ENSG00000131941	RHPN2 PPI subnetwork
ENSG00000189285	ENSG00000189285 PPI subnetwork
ENSG00000111300	NAA25 PPI subnetwork
ENSG00000049323	LTBP1 PPI subnetwork
ENSG00000164605	ENSG00000164605 PPI subnetwork
ENSG00000198265	HELZ PPI subnetwork
ENSG00000136448	NMT1 PPI subnetwork
ENSG00000119812	FAM98A PPI subnetwork
ENSG00000108256	NUFIP2 PPI subnetwork
ENSG00000111602	TIMELESS PPI subnetwork
ENSG00000175793	SFN PPI subnetwork
ENSG00000105327	BBC3 PPI subnetwork
ENSG00000061936	SFSWAP PPI subnetwork
ENSG00000111775	COX6A1 PPI subnetwork
ENSG00000180581	ENSG00000180581 PPI subnetwork
ENSG00000143742	SRP9 PPI subnetwork
ENSG00000138696	BMPR1B PPI subnetwork
ENSG00000147044	CASK PPI subnetwork
ENSG00000090659	CD209 PPI subnetwork
ENSG00000076928	ARHGEF1 PPI subnetwork
ENSG00000165516	KLHDC2 PPI subnetwork
ENSG00000067900	ROCK1 PPI subnetwork
ENSG00000196914	ARHGEF12 PPI subnetwork
ENSG00000140403	DNAJA4 PPI subnetwork
ENSG00000168538	TRAPPC11 PPI subnetwork
ENSG00000137642	SORL1 PPI subnetwork
ENSG00000100294	MCAT PPI subnetwork
ENSG00000124151	NCOA3 PPI subnetwork
ENSG00000165943	MOAP1 PPI subnetwork
ENSG00000154447	SH3RF1 PPI subnetwork
ENSG00000120699	EXOSC8 PPI subnetwork
ENSG00000160145	KALRN PPI subnetwork
ENSG00000118513	MYB PPI subnetwork
ENSG00000135424	ITGA7 PPI subnetwork
ENSG00000138795	LEF1 PPI subnetwork
ENSG00000140284	SLC27A2 PPI subnetwork
ENSG00000114019	AMOTL2 PPI subnetwork
ENSG00000143549	TPM3 PPI subnetwork
ENSG00000100823	APEX1 PPI subnetwork
ENSG00000167513	CDT1 PPI subnetwork
ENSG00000143375	CGN PPI subnetwork
ENSG00000116478	HDAC1 PPI subnetwork
ENSG00000170421	KRT8 PPI subnetwork
ENSG00000145649	GZMA PPI subnetwork
ENSG00000181690	PLAG1 PPI subnetwork
ENSG00000140481	CCDC33 PPI subnetwork
ENSG00000164327	RICTOR PPI subnetwork
ENSG00000171241	SHCBP1 PPI subnetwork
ENSG00000102119	EMD PPI subnetwork
ENSG00000106443	PHF14 PPI subnetwork
ENSG00000131746	TNS4 PPI subnetwork
ENSG00000096696	DSP PPI subnetwork
ENSG00000160844	GATS PPI subnetwork
ENSG00000204175	GPRIN2 PPI subnetwork
ENSG00000179588	ZFPM1 PPI subnetwork
ENSG00000109618	SEPSECS PPI subnetwork
ENSG00000164252	AGGF1 PPI subnetwork
ENSG00000135968	GCC2 PPI subnetwork
ENSG00000122870	BICC1 PPI subnetwork
ENSG00000163629	PTPN13 PPI subnetwork
ENSG00000119401	TRIM32 PPI subnetwork
ENSG00000183785	TUBA8 PPI subnetwork
ENSG00000185722	ANKFY1 PPI subnetwork
ENSG00000067560	RHOA PPI subnetwork
ENSG00000128016	ZFP36 PPI subnetwork
ENSG00000213639	PPP1CB PPI subnetwork
ENSG00000168078	PBK PPI subnetwork
ENSG00000184863	RBM33 PPI subnetwork
ENSG00000115963	RND3 PPI subnetwork
ENSG00000143878	RHOB PPI subnetwork
ENSG00000166167	BTRC PPI subnetwork
ENSG00000039068	CDH1 PPI subnetwork
ENSG00000077514	POLD3 PPI subnetwork
ENSG00000169592	INO80E PPI subnetwork
ENSG00000116141	MARK1 PPI subnetwork
ENSG00000001626	CFTR PPI subnetwork
ENSG00000140538	NTRK3 PPI subnetwork
ENSG00000134313	KIDINS220 PPI subnetwork
ENSG00000119729	RHOQ PPI subnetwork
ENSG00000119698	PPP4R4 PPI subnetwork
ENSG00000115590	IL1R2 PPI subnetwork
ENSG00000187323	DCC PPI subnetwork
ENSG00000183072	NKX2-5 PPI subnetwork
ENSG00000080815	PSEN1 PPI subnetwork
ENSG00000169895	SYAP1 PPI subnetwork
ENSG00000005844	ITGAL PPI subnetwork
ENSG00000110042	DTX4 PPI subnetwork
ENSG00000129354	AP1M2 PPI subnetwork
ENSG00000083544	TDRD3 PPI subnetwork
ENSG00000049618	ARID1B PPI subnetwork
ENSG00000168036	CTNNB1 PPI subnetwork
ENSG00000105926	MPP6 PPI subnetwork
ENSG00000213782	DDX47 PPI subnetwork
ENSG00000116604	MEF2D PPI subnetwork
ENSG00000120860	CCDC53 PPI subnetwork
ENSG00000137074	APTX PPI subnetwork
ENSG00000197746	PSAP PPI subnetwork
ENSG00000107882	SUFU PPI subnetwork
ENSG00000134363	FST PPI subnetwork
ENSG00000043355	ZIC2 PPI subnetwork
ENSG00000124762	CDKN1A PPI subnetwork
ENSG00000026025	VIM PPI subnetwork
ENSG00000148737	TCF7L2 PPI subnetwork
ENSG00000196236	XPNPEP3 PPI subnetwork
ENSG00000182636	NDN PPI subnetwork
ENSG00000114107	CEP70 PPI subnetwork
ENSG00000163624	CDS1 PPI subnetwork
ENSG00000079246	XRCC5 PPI subnetwork
ENSG00000101442	ACTR5 PPI subnetwork
ENSG00000104067	TJP1 PPI subnetwork
ENSG00000151617	EDNRA PPI subnetwork
ENSG00000092853	CLSPN PPI subnetwork
ENSG00000006744	ELAC2 PPI subnetwork
ENSG00000065328	MCM10 PPI subnetwork
ENSG00000028528	SNX1 PPI subnetwork
ENSG00000171195	MUC7 PPI subnetwork
ENSG00000171681	ATF7IP PPI subnetwork
ENSG00000183691	NOG PPI subnetwork
ENSG00000010278	CD9 PPI subnetwork
ENSG00000172531	PPP1CA PPI subnetwork
ENSG00000123136	DDX39A PPI subnetwork
ENSG00000171720	HDAC3 PPI subnetwork
ENSG00000112249	ASCC3 PPI subnetwork
ENSG00000092820	EZR PPI subnetwork
ENSG00000148516	ZEB1 PPI subnetwork
ENSG00000182319	SGK223 PPI subnetwork
ENSG00000111057	KRT18 PPI subnetwork
ENSG00000066468	FGFR2 PPI subnetwork
ENSG00000134138	MEIS2 PPI subnetwork
ENSG00000064999	ANKS1A PPI subnetwork
ENSG00000112851	ERBB2IP PPI subnetwork
ENSG00000104549	SQLE PPI subnetwork
ENSG00000106400	ZNHIT1 PPI subnetwork
ENSG00000005884	ITGA3 PPI subnetwork
ENSG00000114491	UMPS PPI subnetwork
ENSG00000065054	SLC9A3R2 PPI subnetwork
ENSG00000157514	TSC22D3 PPI subnetwork
ENSG00000196313	POM121 PPI subnetwork
ENSG00000160741	CRTC2 PPI subnetwork
ENSG00000111752	PHC1 PPI subnetwork
ENSG00000105281	SLC1A5 PPI subnetwork
ENSG00000104081	BMF PPI subnetwork
ENSG00000181191	PJA1 PPI subnetwork
ENSG00000133657	ATP13A3 PPI subnetwork
ENSG00000078579	FGF20 PPI subnetwork
ENSG00000075914	EXOSC7 PPI subnetwork
ENSG00000167670	CHAF1A PPI subnetwork
ENSG00000071564	TCF3 PPI subnetwork
ENSG00000143384	MCL1 PPI subnetwork
ENSG00000184363	PKP3 PPI subnetwork
ENSG00000130338	TULP4 PPI subnetwork
ENSG00000105849	TWISTNB PPI subnetwork
ENSG00000159259	CHAF1B PPI subnetwork
ENSG00000137218	FRS3 PPI subnetwork
ENSG00000173801	JUP PPI subnetwork
ENSG00000144283	PKP4 PPI subnetwork
ENSG00000136603	SKIL PPI subnetwork
ENSG00000143799	PARP1 PPI subnetwork
ENSG00000082781	ITGB5 PPI subnetwork
ENSG00000180353	HCLS1 PPI subnetwork
ENSG00000093167	LRRFIP2 PPI subnetwork
ENSG00000155366	RHOC PPI subnetwork
ENSG00000142875	PRKACB PPI subnetwork
ENSG00000136160	EDNRB PPI subnetwork
ENSG00000110987	BCL7A PPI subnetwork
ENSG00000076053	RBM7 PPI subnetwork
ENSG00000132688	NES PPI subnetwork
ENSG00000139239	ENSG00000139239 PPI subnetwork
ENSG00000106028	SSBP1 PPI subnetwork
ENSG00000100603	SNW1 PPI subnetwork
ENSG00000131023	LATS1 PPI subnetwork
ENSG00000101773	RBBP8 PPI subnetwork
ENSG00000137309	HMGA1 PPI subnetwork
ENSG00000170820	FSHR PPI subnetwork
ENSG00000114698	PLSCR4 PPI subnetwork
ENSG00000149257	SERPINH1 PPI subnetwork
ENSG00000153933	DGKE PPI subnetwork
ENSG00000113658	SMAD5 PPI subnetwork
ENSG00000130307	USHBP1 PPI subnetwork
ENSG00000103653	CSK PPI subnetwork
ENSG00000164053	ATRIP PPI subnetwork
ENSG00000188843	ENSG00000188843 PPI subnetwork
ENSG00000166197	NOLC1 PPI subnetwork
ENSG00000034152	MAP2K3 PPI subnetwork
ENSG00000151702	FLI1 PPI subnetwork
ENSG00000147082	CCNB3 PPI subnetwork
ENSG00000147889	CDKN2A PPI subnetwork
ENSG00000171311	EXOSC1 PPI subnetwork
ENSG00000163513	TGFBR2 PPI subnetwork
ENSG00000198104	OR2T6 PPI subnetwork
ENSG00000175482	POLD4 PPI subnetwork
ENSG00000166848	TERF2IP PPI subnetwork
ENSG00000070501	POLB PPI subnetwork
ENSG00000162772	ATF3 PPI subnetwork
ENSG00000124356	STAMBP PPI subnetwork
ENSG00000187514	PTMA PPI subnetwork
ENSG00000162692	VCAM1 PPI subnetwork
ENSG00000080603	SRCAP PPI subnetwork
ENSG00000140678	ITGAX PPI subnetwork
ENSG00000169429	IL8 PPI subnetwork
ENSG00000162688	AGL PPI subnetwork
ENSG00000178951	ZBTB7A PPI subnetwork
ENSG00000101849	TBL1X PPI subnetwork
ENSG00000175197	DDIT3 PPI subnetwork
ENSG00000130294	KIF1A PPI subnetwork
ENSG00000179603	GRM8 PPI subnetwork
ENSG00000171403	KRT9 PPI subnetwork
ENSG00000120498	TEX11 PPI subnetwork
ENSG00000143393	PI4KB PPI subnetwork
ENSG00000186575	NF2 PPI subnetwork
ENSG00000165392	WRN PPI subnetwork
ENSG00000106628	POLD2 PPI subnetwork
ENSG00000128951	DUT PPI subnetwork
ENSG00000101665	SMAD7 PPI subnetwork
ENSG00000214078	CPNE1 PPI subnetwork
ENSG00000197471	SPN PPI subnetwork
ENSG00000114209	PDCD10 PPI subnetwork
