A02.165.Cartilage	A02.165	Cartilage	Musculoskeletal System	Cartilage
A02.633.567.850.Quadriceps.Muscle	A02.633.567.850	Quadriceps Muscle	Musculoskeletal System	Muscles
A02.835.Skeleton	A02.835	Skeleton	Musculoskeletal System	Skeleton
A02.835.232.Bone.and.Bones	A02.835.232	Bone and Bones	Musculoskeletal System	Skeleton
A02.835.232.043.Bones.of.Lower.Extremity	A02.835.232.043	Bones of Lower Extremity	Musculoskeletal System	Skeleton
A02.835.232.043.300.Foot.Bones	A02.835.232.043.300	Foot Bones	Musculoskeletal System	Skeleton
A02.835.232.043.300.710.Tarsal.Bones	A02.835.232.043.300.710	Tarsal Bones	Musculoskeletal System	Skeleton
A02.835.232.834.Spine	A02.835.232.834	Spine	Musculoskeletal System	Skeleton
A02.835.232.834.151.Cervical.Vertebrae	A02.835.232.834.151	Cervical Vertebrae	Musculoskeletal System	Skeleton
A02.835.583.Joints	A02.835.583	Joints	Musculoskeletal System	Skeleton
A02.835.583.443.Joint.Capsule	A02.835.583.443	Joint Capsule	Musculoskeletal System	Skeleton
A02.835.583.443.800.Synovial.Membrane	A02.835.583.443.800	Synovial Membrane	Musculoskeletal System	Skeleton
A02.835.583.443.800.800.Synovial.Fluid	A02.835.583.443.800.800	Synovial Fluid	Musculoskeletal System	Skeleton
A03.556.Gastrointestinal.Tract	A03.556	Gastrointestinal Tract	Digestive System	Gastrointestinal Tract
A03.556.124.Intestines	A03.556.124	Intestines	Digestive System	Gastrointestinal Tract
A03.556.124.369.Intestinal.Mucosa	A03.556.124.369	Intestinal Mucosa	Digestive System	Gastrointestinal Tract
A03.556.124.526.767.Rectum	A03.556.124.526.767	Rectum	Digestive System	Gastrointestinal Tract
A03.556.124.684.Intestine..Small	A03.556.124.684	Intestine  Small	Digestive System	Gastrointestinal Tract
A03.556.249.Lower.Gastrointestinal.Tract	A03.556.249	Lower Gastrointestinal Tract	Digestive System	Gastrointestinal Tract
A03.556.249.124.Ileum	A03.556.249.124	Ileum	Digestive System	Gastrointestinal Tract
A03.556.249.249.Intestine..Large	A03.556.249.249	Intestine  Large	Digestive System	Gastrointestinal Tract
A03.556.249.249.209.Cecum	A03.556.249.249.209	Cecum	Digestive System	Gastrointestinal Tract
A03.556.249.249.356.Colon	A03.556.249.249.356	Colon	Digestive System	Gastrointestinal Tract
A03.556.249.249.356.668.Colon..Sigmoid	A03.556.249.249.356.668	Colon  Sigmoid	Digestive System	Gastrointestinal Tract
A03.556.500.760.Salivary.Glands	A03.556.500.760	Salivary Glands	Digestive System	Gastrointestinal Tract
A03.556.500.760.464.Parotid.Gland	A03.556.500.760.464	Parotid Gland	Digestive System	Gastrointestinal Tract
A03.556.875.Upper.Gastrointestinal.Tract	A03.556.875	Upper Gastrointestinal Tract	Digestive System	Gastrointestinal Tract
A03.556.875.500.Esophagus	A03.556.875.500	Esophagus	Digestive System	Gastrointestinal Tract
A03.556.875.875.Stomach	A03.556.875.875	Stomach	Digestive System	Gastrointestinal Tract
A03.620.Liver	A03.620	Liver	Digestive System	Liver
A03.734.Pancreas	A03.734	Pancreas	Digestive System	Pancreas
A03.734.414.Islets.of.Langerhans	A03.734.414	Islets of Langerhans	Digestive System	Pancreas
A04.411.Lung	A04.411	Lung	Respiratory System	Lung
A04.531.520.Nasal.Mucosa	A04.531.520	Nasal Mucosa	Respiratory System	Nose
A04.623.603.Oropharynx	A04.623.603	Oropharynx	Respiratory System	Pharynx
A05.360.Genitalia	A05.360	Genitalia	Urogenital System	Genitalia
A05.360.319.Genitalia..Female	A05.360.319	Genitalia  Female	Urogenital System	Genitalia
A05.360.319.114.Adnexa.Uteri	A05.360.319.114	Adnexa Uteri	Urogenital System	Genitalia
A05.360.319.114.373.Fallopian.Tubes	A05.360.319.114.373	Fallopian Tubes	Urogenital System	Genitalia
A05.360.319.114.630.Ovary	A05.360.319.114.630	Ovary	Urogenital System	Genitalia
