ensembl_id	ensembl_strand	ensembl_bp_start	ensembl_bp_end	transcript_biotype	HGNC	ensembl_chromosome
ENSG00000228463	-1	227615	267253	processed_transcript	-	1
ENSG00000225880	-1	761586	762902	lincRNA	LINC00115	1
ENSG00000228794	1	762988	789791	processed_transcript	-	1
ENSG00000230699	1	846815	850328	antisense	-	1
ENSG00000223764	-1	852250	855072	processed_transcript	-	1
ENSG00000187634	1	860260	879955	protein_coding+processed_transcript+retained_intron	SAMD11	1
ENSG00000188976	-1	879584	894689	processed_transcript+protein_coding	NOC2L	1
ENSG00000187961	1	895967	901095	protein_coding+processed_transcript	KLHL17	1
ENSG00000187583	1	901877	911245	protein_coding+processed_transcript	PLEKHN1	1
ENSG00000187642	-1	910579	917497	protein_coding+processed_transcript	C1orf170	1
ENSG00000188290	-1	934342	935552	protein_coding+processed_transcript	HES4	1
ENSG00000187608	1	948803	949920	protein_coding	ISG15	1
ENSG00000188157	1	955503	991496	protein_coding+processed_transcript	AGRN	1
ENSG00000217801	1	995114	1004735	processed_transcript+transcribed_unprocessed_pseudogene	-	1
ENSG00000131591	-1	1017198	1051741	protein_coding+retained_intron+nonsense_mediated_decay+processed_transcript	C1orf159	1
ENSG00000223823	1	1072397	1079436	lincRNA	-	1
ENSG00000162571	1	1109264	1133315	processed_transcript+protein_coding	TTLL10	1
ENSG00000186891	-1	1138888	1142071	protein_coding+processed_transcript	TNFRSF18	1
ENSG00000186827	-1	1146706	1149518	protein_coding+processed_transcript	TNFRSF4	1
ENSG00000078808	-1	1152288	1167411	protein_coding+nonsense_mediated_decay+processed_transcript	SDF4	1
ENSG00000176022	1	1167629	1170421	protein_coding	B3GALT6	1
ENSG00000184163	-1	1177826	1182102	processed_transcript+protein_coding	FAM132A	1
ENSG00000160087	-1	1189289	1209265	nonsense_mediated_decay+protein_coding+processed_transcript+retained_intron	UBE2J2	1
ENSG00000162572	1	1214447	1227409	protein_coding+nonsense_mediated_decay+processed_transcript	SCNN1D	1
ENSG00000131584	-1	1227756	1244989	protein_coding+retained_intron+processed_transcript+nonsense_mediated_decay	ACAP3	1
ENSG00000169972	1	1243947	1247057	protein_coding+processed_transcript	PUSL1	1
ENSG00000127054	-1	1246965	1260071	retained_intron+protein_coding+processed_transcript+nonsense_mediated_decay	CPSF3L	1
ENSG00000224051	1	1260136	1264277	processed_transcript+protein_coding	GLTPD1	1
ENSG00000107404	-1	1270656	1284760	protein_coding+retained_intron	DVL1	1
ENSG00000162576	-1	1288069	1297157	processed_transcript+protein_coding+nonsense_mediated_decay	MXRA8	1
ENSG00000175756	-1	1309110	1310875	protein_coding+processed_transcript	AURKAIP1	1
ENSG00000221978	-1	1321091	1334708	processed_transcript+protein_coding+nonsense_mediated_decay+retained_intron	CCNL2	1
ENSG00000242485	-1	1337288	1342693	protein_coding+processed_transcript	MRPL20	1
ENSG00000235098	-1	1353800	1357149	protein_coding+processed_transcript	ANKRD65	1
ENSG00000236239	-1	1363502	1365635	antisense	-	1
ENSG00000203586	1	1363502	1365634	lincRNA	-	1
ENSG00000225285	-1	1365919	1369953	antisense	-	1
ENSG00000179403	1	1370241	1378262	processed_transcript+protein_coding	VWA1	1
ENSG00000215915	1	1385069	1405538	protein_coding+processed_transcript	ATAD3C	1
ENSG00000160072	1	1407143	1433228	protein_coding+processed_transcript	ATAD3B	1
ENSG00000197785	1	1447531	1470067	protein_coding	ATAD3A	1
ENSG00000160075	-1	1477053	1510249	protein_coding	SSU72	1
ENSG00000228594	-1	1533392	1535476	protein_coding	-	1
ENSG00000197530	1	1550795	1565990	protein_coding+retained_intron+nonsense_mediated_decay+processed_transcript	MIB2	1
ENSG00000189339	-1	1592939	1624167	protein_coding+processed_transcript	SLC35E2B	1
ENSG00000215790	-1	1656277	1677431	protein_coding+processed_transcript	SLC35E2	1
ENSG00000008130	-1	1682671	1711896	protein_coding+processed_transcript	NADK	1
ENSG00000078369	-1	1716725	1822502	protein_coding+processed_transcript	GNB1	1
ENSG00000169885	1	1846266	1848735	protein_coding+processed_transcript	CALML6	1
ENSG00000178821	-1	1849029	1850712	protein_coding+processed_transcript	TMEM52	1
ENSG00000142609	-1	1853396	1935276	retained_intron+protein_coding+processed_transcript	C1orf222	1
ENSG00000233542	-1	1944652	1946969	antisense	-	1
ENSG00000187730	1	1950780	1962192	protein_coding	GABRD	1
ENSG00000067606	1	1981909	2116834	protein_coding+retained_intron+processed_transcript+nonsense_mediated_decay	PRKCZ	1
ENSG00000182873	-1	2113233	2115828	antisense	-	1
ENSG00000162585	-1	2115903	2144159	processed_transcript+nonsense_mediated_decay+protein_coding+retained_intron	C1orf86	1
ENSG00000157933	1	2160134	2241558	protein_coding+processed_transcript+retained_intron	SKI	1
ENSG00000116151	-1	2252692	2323146	protein_coding+processed_transcript	MORN1	1
ENSG00000178642	1	2316811	2319922	pseudogene	-	1
ENSG00000157916	1	2323267	2335190	protein_coding+processed_transcript	RER1	1
ENSG00000157911	-1	2336236	2345236	protein_coding+nonsense_mediated_decay+processed_transcript	PEX10	1
ENSG00000149527	1	2398898	2436969	processed_transcript+protein_coding	PLCH2	1
ENSG00000157881	-1	2439972	2458039	protein_coding+nonsense_mediated_decay+processed_transcript+retained_intron	PANK4	1
ENSG00000197921	-1	2460184	2461684	protein_coding	HES5	1
ENSG00000238164	-1	2481359	2488470	processed_transcript	-	1
ENSG00000157873	1	2487078	2497061	protein_coding+retained_intron+nonsense_mediated_decay+processed_transcript	TNFRSF14	1
ENSG00000228037	1	2512999	2515972	antisense	-	1
ENSG00000157870	1	2517930	2522908	processed_transcript+protein_coding	C1orf93	1
ENSG00000142606	-1	2522078	2564481	processed_transcript+protein_coding+nonsense_mediated_decay+retained_intron	MMEL1	1
ENSG00000215912	-1	2567415	2706280	protein_coding	TTC34	1
ENSG00000169717	1	2938046	2939465	protein_coding	ACTRT2	1
ENSG00000177133	-1	2976179	2985001	processed_transcript	-	1
ENSG00000142611	1	2985732	3355185	protein_coding+processed_transcript	PRDM16	1
ENSG00000130762	1	3370990	3397677	protein_coding+retained_intron	ARHGEF16	1
ENSG00000162591	-1	3406484	3528059	protein_coding+nonsense_mediated_decay+processed_transcript	MEGF6	1
ENSG00000158109	1	3541566	3546691	protein_coding	TPRG1L	1
ENSG00000116213	-1	3547331	3569325	protein_coding+processed_transcript	WRAP73	1
ENSG00000078900	1	3569084	3652765	protein_coding	TP73	1
ENSG00000227372	-1	3652548	3663900	processed_transcript	TP73-AS1	1
ENSG00000162592	1	3668962	3688208	protein_coding+processed_transcript	CCDC27	1
ENSG00000235169	1	3689352	3692546	antisense	-	1
ENSG00000130764	-1	3696784	3713068	protein_coding+processed_transcript	LRRC47	1
ENSG00000116198	-1	3728645	3773778	protein_coding+processed_transcript	CEP104	1
ENSG00000169598	1	3773845	3801993	protein_coding+nonsense_mediated_decay+processed_transcript	DFFB	1
ENSG00000198912	-1	3805689	3816857	protein_coding+processed_transcript	C1orf174	1
ENSG00000236423	1	3816936	3833789	processed_transcript	-	1
ENSG00000233304	1	4000673	4015322	lincRNA	-	1
ENSG00000226374	-1	4007209	4009040	lincRNA	-	1
ENSG00000235054	1	4472111	4484747	lincRNA	-	1
ENSG00000196581	1	4714792	4843850	protein_coding+processed_transcript	AJAP1	1
ENSG00000131697	-1	5922871	6052533	retained_intron+processed_transcript+nonsense_mediated_decay+protein_coding+ambiguous_orf	NPHP4	1
ENSG00000069424	1	6051526	6161253	protein_coding+processed_transcript	KCNAB2	1
ENSG00000116254	-1	6161853	6240183	protein_coding+processed_transcript+nonsense_mediated_decay	CHD5	1
ENSG00000116251	-1	6241329	6269449	processed_transcript+protein_coding	RPL22	1
ENSG00000158286	1	6265535	6281359	retained_intron+processed_transcript+protein_coding	RNF207	1
ENSG00000116237	-1	6281252	6296032	processed_transcript+protein_coding	ICMT	1
ENSG00000225077	1	6296300	6299504	antisense	LINC00337	1
ENSG00000158292	-1	6307406	6321035	protein_coding	GPR153	1
ENSG00000097021	-1	6324333	6454451	protein_coding+nonsense_mediated_decay+processed_transcript	ACOT7	1
ENSG00000069812	-1	6472478	6484730	protein_coding+processed_transcript	HES2	1
ENSG00000187017	1	6484848	6521430	protein_coding+processed_transcript	ESPN	1
ENSG00000215788	-1	6521211	6526255	retained_intron+protein_coding+nonsense_mediated_decay+processed_transcript	TNFRSF25	1
ENSG00000171680	-1	6526152	6580121	protein_coding+processed_transcript	PLEKHG5	1
ENSG00000162408	-1	6581407	6614595	protein_coding+processed_transcript	NOL9	1
ENSG00000173662	1	6615241	6639817	protein_coding	TAS1R1	1
ENSG00000204859	1	6640061	6649340	protein_coding+processed_transcript	ZBTB48	1
ENSG00000162413	-1	6650784	6674667	protein_coding+processed_transcript	KLHL21	1
ENSG00000116273	1	6673745	6684093	protein_coding+processed_transcript	PHF13	1
ENSG00000041988	1	6684926	6695646	protein_coding+processed_transcript	THAP3	1
ENSG00000007923	-1	6694228	6761984	protein_coding+processed_transcript	DNAJC11	1
ENSG00000171735	1	6845384	7827916	protein_coding+processed_transcript+nonsense_mediated_decay	CAMTA1	1
ENSG00000049245	1	7831329	7841492	protein_coding+processed_transcript	VAMP3	1
ENSG00000049246	1	7844380	7905237	protein_coding+processed_transcript	PER3	1
ENSG00000049247	-1	7903143	7913572	protein_coding	UTS2	1
ENSG00000049249	-1	7979907	8000926	protein_coding+processed_transcript	TNFRSF9	1
ENSG00000116288	1	8014351	8045565	processed_transcript+protein_coding	PARK7	1
ENSG00000116285	-1	8064464	8086368	processed_transcript+protein_coding	ERRFI1	1
ENSG00000162426	1	8377886	8404227	protein_coding+retained_intron+processed_transcript	SLC45A1	1
ENSG00000142599	-1	8412457	8877702	protein_coding+processed_transcript	RERE	1
ENSG00000074800	-1	8921061	8939308	protein_coding+processed_transcript	ENO1	1
ENSG00000230679	1	8938894	8939953	antisense	ENO1-AS1	1
ENSG00000131686	1	9005922	9035151	protein_coding+processed_transcript+nonsense_mediated_decay	CA6	1
ENSG00000142583	-1	9095166	9148537	protein_coding+processed_transcript	SLC2A5	1
ENSG00000180758	-1	9160364	9189250	protein_coding+processed_transcript	GPR157	1
ENSG00000049239	1	9294863	9331396	protein_coding+processed_transcript	H6PD	1
ENSG00000171621	1	9352939	9429591	protein_coding	SPSB1	1
ENSG00000188807	1	9648932	9674935	protein_coding+processed_transcript+nonsense_mediated_decay	TMEM201	1
ENSG00000179840	-1	9712668	9714644	protein_coding	C1orf200	1
ENSG00000231789	-1	9739858	9747632	processed_transcript	-	1
ENSG00000171608	1	9711790	9789172	protein_coding+processed_transcript	PIK3CD	1
ENSG00000171603	-1	9789084	9884584	protein_coding+processed_transcript	CLSTN1	1
ENSG00000178585	-1	9908334	9970394	protein_coding	CTNNBIP1	1
ENSG00000162441	-1	9982171	10003465	processed_transcript+protein_coding	LZIC	1
