Ensembl Gene ID	Strand	Gene Start (bp)	Gene End (bp)	Gene Biotype	HGNC symbol	Chromosome Name
ENSG00000223116	-1	23551994	23552136	miRNA		13
ENSG00000233440	1	23708313	23708703	pseudogene	HMGA1P6	13
ENSG00000207157	-1	23726725	23726825	misc_RNA	RNY3P4	13
ENSG00000229483	-1	23743974	23744736	lincRNA	LINC00362	13
ENSG00000252952	-1	23791571	23791673	snRNA	RNU6-58P	13
ENSG00000235205	1	23817659	23821323	pseudogene	TATDN2P3	13
ENSG00000232849	1	93708910	93710179	lincRNA	LINC00363	13
ENSG00000236803	1	23841645	23843289	pseudogene	SDAD1P4	13
ENSG00000232163	1	23947562	23948200	pseudogene	RPLP1P13	13
ENSG00000252365	-1	94021100	94021213	snoRNA		13
ENSG00000229558	1	23993110	24002818	lincRNA	SACS-AS1	13
ENSG00000235784	-1	94047230	94048108	pseudogene	HNRNPA1P29	13
ENSG00000224394	-1	94470677	94488397	antisense	GPC6-AS2	13
ENSG00000212559	-1	94677724	94677852	rRNA	RNA5SP35	13
ENSG00000232977	1	24040710	24061603	lincRNA	LINC00327	13
ENSG00000236520	-1	94806447	94840245	antisense	GPC6-AS1	13
ENSG00000227893	1	24072935	24077013	lincRNA	LINC00352	13
ENSG00000212057	-1	95117554	95117644	miRNA		13
ENSG00000222129	-1	95303651	95303783	rRNA	RNA5SP36	13
ENSG00000232102	-1	24340073	24340243	pseudogene	MTCO3P2	13
ENSG00000242037	-1	95351479	95351756	misc_RNA	RN7SL585P	13
ENSG00000238230	-1	95351948	95355116	lincRNA	LINC00391	13
ENSG00000227640	1	95364970	95368500	lincRNA	SOX21-AS1	13
ENSG00000205861	1	24463028	24471402	antisense	C1QTNF9B-AS1	13
ENSG00000235768	-1	95409705	95411526	pseudogene	BRD7P5	13
ENSG00000237924	-1	95412807	95413269	pseudogene	RPL21P112	13
ENSG00000260962	1	95612295	95613573	lincRNA	LINC00557	13
ENSG00000252335	1	95671489	95671590	snRNA	RNU6-62P	13
ENSG00000238463	1	95862598	95862702	snoRNA		13
ENSG00000223298	-1	95963084	95963209	misc_RNA	RNY3P8	13
ENSG00000196593	-1	24513696	24520921	pseudogene	ANKRD20A19P	13
ENSG00000200211	-1	95988360	95988455	misc_RNA	RNY4P27	13
ENSG00000271492	1	96046303	96046708	pseudogene	MEMO1P5	13
ENSG00000223392	-1	96131698	96186164	antisense	CLDN10-AS1	13
ENSG00000228741	1	24553949	24609166	lincRNA		13
ENSG00000247400	-1	96300987	96329179	lincRNA	DNAJC3-AS1	13
ENSG00000225674	-1	24696204	24697953	pseudogene	IPO7P2	13
ENSG00000229622	1	96344792	96346226	pseudogene	MTND5P2	13
ENSG00000252695	1	24736555	24736643	miRNA	MIR2276	13
ENSG00000227213	-1	24826887	24828577	antisense	SPATA13-AS1	13
ENSG00000227714	-1	96346237	96346749	pseudogene	MTND6P18	13
ENSG00000240868	-1	24889863	24895736	antisense	C1QTNF9-AS1	13
ENSG00000232373	1	96346823	96347959	pseudogene	MTCYBP3	13
ENSG00000234627	1	24902349	24903210	pseudogene	NUS1P3	13
ENSG00000251901	-1	96366931	96367032	snoRNA		13
ENSG00000261498	1	24905588	24911259	lincRNA	LINC00566	13
ENSG00000226977	-1	96461564	96461861	pseudogene	HMGN1P24	13
ENSG00000233545	1	24974841	24975167	pseudogene	CYCSP33	13
ENSG00000242614	1	96821799	96822099	misc_RNA	RN7SL164P	13
ENSG00000233273	1	97225913	97226753	pseudogene	AMMECR1LP1	13
ENSG00000205822	1	24982295	25171814	pseudogene	TPTE2P6	13
ENSG00000235137	-1	97536096	97542067	pseudogene	HSP90AB6P	13
ENSG00000243300	-1	97593535	97636426	lincRNA	LINC00359	13
ENSG00000266216	-1	25129366	25129451	miRNA		13
ENSG00000244615	1	25140981	25144866	pseudogene	PSPC1P2	13
ENSG00000234267	-1	97599891	97601181	pseudogene	TULP3P1	13
ENSG00000243008	1	25141011	25171814	processed_transcript		13
ENSG00000272329	1	97600272	97601838	lincRNA		13
ENSG00000211508	1	25183217	25183313	miRNA		13
ENSG00000222472	-1	97601503	97601787	misc_RNA	RN7SKP7	13
ENSG00000207474	-1	25277694	25277803	misc_RNA	RNY1P7	13
ENSG00000252154	-1	97618195	97618268	snoRNA		13
ENSG00000225404	-1	25278476	25278926	pseudogene	RPL26P34	13
ENSG00000238522	1	97709633	97709734	snoRNA		13
ENSG00000233124	-1	97824723	97831876	lincRNA	LINC00456	13
ENSG00000231417	1	25316815	25320322	pseudogene	IRX1P1	13
ENSG00000202290	-1	98015226	98015355	rRNA	RNA5SP37	13
ENSG00000271625	1	98127996	98128713	pseudogene	PSMA6P4	13
ENSG00000226695	-1	25324795	25326309	pseudogene	ANKRD20A10P	13
ENSG00000226134	-1	98327265	98330217	lincRNA		13
ENSG00000238407	1	98538063	98538166	snoRNA		13
ENSG00000233291	1	98553907	98554542	pseudogene	RPL7AP61	13
ENSG00000270725	1	98591610	98605793	lincRNA		13
ENSG00000253771	-1	25498815	25542625	pseudogene	TPTE2P1	13
ENSG00000232217	-1	98639204	98639470	pseudogene	FTLP8	13
ENSG00000222969	-1	98856089	98856446	misc_RNA	RN7SKP8	13
ENSG00000263399	1	98860778	98860854	miRNA	MIR3170	13
ENSG00000269189	1	98885904	98886954	sense_intronic		13
ENSG00000269599	-1	98981909	98985490	antisense		13
ENSG00000251299	1	25517713	25518636	pseudogene	SLC25A15P3	13
ENSG00000231194	-1	99087659	99088094	antisense	FARP1-AS1	13
ENSG00000271437	1	99205497	99206034	pseudogene		13
ENSG00000232858	-1	25562715	25563063	pseudogene	RPL34P27	13
ENSG00000224418	1	99229498	99231084	antisense	STK24-AS1	13
ENSG00000256305	1	25715794	25716046	pseudogene		13
ENSG00000217686	-1	99262546	99263130	pseudogene	NUS1P4	13
ENSG00000234056	-1	25746966	25754217	lincRNA	AMER2-AS1	13
ENSG00000233549	-1	99281940	99282243	pseudogene	CYCSP35	13
ENSG00000238169	1	25755579	25763898	antisense	LINC01053	13
ENSG00000233662	-1	99293068	99293493	pseudogene	CALM2P4	13
ENSG00000225105	-1	25767245	25784433	lincRNA	LINC01076	13
ENSG00000243366	1	99324234	99324529	misc_RNA	RN7SL60P	13
ENSG00000235315	1	25780187	25780644	pseudogene	RPL23AP69	13
ENSG00000229918	1	99484338	99486883	antisense	DOCK9-AS1	13
ENSG00000221324	1	25820669	25820753	miRNA		13
ENSG00000260509	-1	25874262	25875576	lincRNA		13
ENSG00000231981	-1	99601973	99602701	pseudogene	RPL7L1P12	13
ENSG00000234152	-1	25939937	25940293	pseudogene	TCEB2P1	13
ENSG00000265546	-1	26027137	26027428	misc_RNA	RN7SL289P	13
ENSG00000207298	1	99677488	99677599	snRNA	RNU6-83P	13
ENSG00000199767	1	26091257	26091363	snRNA	RNU6-78P	13
ENSG00000260992	1	99740073	99740879	antisense	DOCK9-AS2	13
ENSG00000180803	-1	26437388	26437805	pseudogene		13
ENSG00000230871	1	99825847	99826744	pseudogene	RPS6P23	13
ENSG00000242381	1	26518632	26518891	misc_RNA	RN7SL741P	13
ENSG00000223158	-1	26524842	26524959	misc_RNA	RNY1P3	13
ENSG00000231983	-1	26626414	26627523	lincRNA	LINC00415	13
ENSG00000234005	-1	99842833	99843245	pseudogene	GAPDHP22	13
ENSG00000228889	-1	99848631	99852964	lincRNA	UBAC2-AS1	13
ENSG00000233963	-1	26688547	26728313	pseudogene	ATP8A2P3	13
ENSG00000201793	1	99857962	99858260	misc_RNA	RN7SKP9	13
ENSG00000218502	-1	99867626	99868012	pseudogene	H2AFZP3	13
ENSG00000207719	1	100008385	100008482	miRNA	MIR623	13
ENSG00000234706	-1	26691686	26693102	pseudogene	PRUNEP1	13
ENSG00000228808	1	100024427	100024940	pseudogene	HMGB3P4	13
ENSG00000271559	-1	26803469	26803781	pseudogene		13
ENSG00000238241	-1	100060035	100061316	pseudogene	CCR12P	13
ENSG00000227882	1	26808350	26811266	pseudogene	PRKRIRP6	13
ENSG00000266207	-1	100105650	100105723	miRNA		13
ENSG00000203441	-1	100151981	100153306	antisense	LINC00449	13
ENSG00000234031	1	27151023	27151812	pseudogene	RPS3AP44	13
ENSG00000212197	-1	100188573	100188650	misc_RNA	RNY3P6	13
ENSG00000234168	1	100229366	100232622	lincRNA	LINC01039	13
ENSG00000237001	-1	27180681	27215501	antisense	WASF3-AS1	13
ENSG00000234239	1	100234960	100235434	pseudogene	CFL1P8	13
ENSG00000230256	1	27479499	27479998	pseudogene	FGFR1OP2P1	13
ENSG00000223782	1	27551680	27551926	pseudogene	RPS21P8	13
ENSG00000263615	1	100295313	100295403	miRNA	MIR4306	13
ENSG00000218198	-1	27591688	27592046	pseudogene	RPS20P32	13
ENSG00000227659	-1	100342335	100343225	antisense	CLYBL-AS2	13
ENSG00000232162	1	27736992	27743272	antisense	USP12-AS1	13
ENSG00000234303	-1	100378501	100379745	antisense	CLYBL-AS1	13
ENSG00000230641	1	27746396	27757135	antisense	USP12-AS2	13
ENSG00000234772	-1	27810419	27810948	antisense	LINC00412	13
ENSG00000201245	-1	100436111	100436237	snoRNA		13
ENSG00000238305	-1	100436308	100436411	snoRNA		13
ENSG00000207500	1	27829201	27829272	snoRNA	SNORD102	13
ENSG00000260738	-1	100647153	100650163	antisense	LINC00554	13
ENSG00000207051	1	27829538	27829663	snoRNA	SNORA27	13
ENSG00000221756	1	27894150	27894296	miRNA		13
ENSG00000225999	-1	100680023	100680428	pseudogene	NDUFA12P1	13
ENSG00000252247	-1	27917785	27917883	snRNA	RNU6-70P	13
ENSG00000229609	1	27947485	27948503	lincRNA	LINC01079	13
ENSG00000236554	-1	100714550	100715855	pseudogene	ASNSP3	13
ENSG00000201242	-1	27976613	27976724	misc_RNA	RNY1P1	13
ENSG00000203602	-1	28008286	28008752	pseudogene		13
ENSG00000252499	1	28062275	28062369	snRNA	RNU6-63P	13
ENSG00000228501	-1	100802735	100803346	pseudogene	RPL15P18	13
ENSG00000226703	-1	28270530	28271341	pseudogene	NPM1P4	13
ENSG00000270632	-1	100850441	100850723	pseudogene		13
ENSG00000207330	1	28402900	28403006	snRNA	RNU6-73P	13
ENSG00000234650	-1	101116694	101133411	antisense	PCCA-AS1	13
ENSG00000247381	-1	28407581	28495541	antisense	PDX1-AS1	13
ENSG00000260704	1	28527663	28529507	lincRNA	LINC00543	13
ENSG00000242360	-1	28563435	28563721	misc_RNA	RN7SL272P	13
