Locus	Nr of genes in locus	Chromosome and position	GWAS P value	Ensembl gene ID	Gene symbol	Nominal P value	Gene closest to lead SNP	Top cis eQTL SNP (Westra et al. Nature Genetics 2014)	False discovery rate
rs11065987;rs11066188	14	chr12:111843752-112947717	1.50e-09	ENSG00000198270	TMEM116	2.88e-04	false	rs7295294	> 0.20
rs10401969	12	chr19:19322782-19774502	6.69e-22	ENSG00000213996	TM6SF2	3.80e-04	false	-	> 0.20
rs12721109;rs5158	3	chr19:45445495-45541452	1.08e-72	ENSG00000224916	APOC4	6.26e-04	true	-	> 0.20
rs217406	1	chr7:44552134-44580914	4.92e-11	ENSG00000015520	NPC1L1	1.18e-03	true	-	> 0.20
rs12916	3	chr5:74632154-74896969	5.12e-45	ENSG00000122008	POLK	1.35e-03	false	-	> 0.20
rs11065987;rs11066188	14	chr12:111843752-112947717	1.50e-09	ENSG00000111275	ALDH2	1.36e-03	false	rs16941669	> 0.20
rs1129555	1	chr10:113909624-113975135	2.14e-09	ENSG00000119927	GPAM	1.43e-03	true	rs1926559	> 0.20
rs1030431	2	chr8:59323823-59412795	3.86e-09	ENSG00000167910	CYP7A1	2.40e-03	false	rs12678010	> 0.20
rs4299376;rs4953023;rs4148218;rs1025447;rs4131228	4	chr2:43864412-44105605	1.73e-47	ENSG00000138075	ABCG5	2.69e-03	true	-	> 0.20
rs964184;rs4417316	4	chr11:116618886-116663136	1.47e-26	ENSG00000110243	APOA5	5.25e-03	false	-	> 0.20
rs10455872;rs3798221	2	chr6:160952515-161174338	1.36e-15	ENSG00000122194	PLG	7.21e-03	false	rs9365237	> 0.20
rs12670798	1	chr7:21582833-21941457	6.88e-10	ENSG00000105877	DNAH11	0.01	true	-	> 0.20
rs174583	4	chr11:61520114-61647626	1.17e-21	ENSG00000124920	C11orf9	0.01	false	rs198462	> 0.20
rs2000999;rs217181;rs9302635	5	chr16:72042643-72210777	1.75e-22	ENSG00000257017	HP	0.02	false	-	> 0.20
rs4299376;rs4953023;rs4148218;rs1025447;rs4131228	4	chr2:43864412-44105605	1.73e-47	ENSG00000143921	ABCG8	0.02	true	-	> 0.20
rs1564348	2	chr6:160390131-160579750	1.70e-17	ENSG00000175003	SLC22A1	0.03	true	rs2297372;rs662301	> 0.20
rs10401969	12	chr19:19322782-19774502	6.69e-22	ENSG00000064547	LPAR2	0.05	false	rs880090	> 0.20
rs10455872;rs3798221	2	chr6:160952515-161174338	1.36e-15	ENSG00000198670	LPA	0.05	true	-	> 0.20
rs7711235	1	chr5:74364100-74532703	1.54e-09	ENSG00000145700	ANKRD31	0.10	true	-	> 0.20
rs3850634	4	chr1:62901968-63176365	2.63e-18	ENSG00000132855	ANGPTL3	0.13	true	rs7528963	> 0.20
rs629301;rs17035665;rs12127701;rs11102964;rs3879448;rs17035630;rs648673;rs1278286;rs10410	10	chr1:109656301-110052360	9.70e-171	ENSG00000174151	CYB561D1	0.14	false	-	> 0.20
rs11065987;rs11066188	14	chr12:111843752-112947717	1.50e-09	ENSG00000111271	ACAD10	0.16	false	rs634389	> 0.20
rs174583	4	chr11:61520114-61647626	1.17e-21	ENSG00000134824	FADS2	0.18	true	rs968567	> 0.20
rs11065987;rs11066188	14	chr12:111843752-112947717	1.50e-09	ENSG00000135148	TRAFD1	0.18	true	rs10492014	> 0.20
rs2807834;rs12132819	3	chr1:220921567-221005771	5.62e-11	ENSG00000238078	-	0.19	true	-	> 0.20
